('Total Revenue', '94,399,000', '85,965,000', '70,697,000', '55,838,000', '40,653,000')
         410553 function calls (398801 primitive calls) in 0.974 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 __init__.py:19(<module>)
       32    0.000    0.000    0.010    0.000 response.py:689(_update_chunk_length)
     1244    0.001    0.000    0.010    0.000 __init__.py:716(handle_endtag)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:565(parse_pseudo_class)
        1    0.000    0.000    0.010    0.010 universaldetector.py:28(<module>)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:712(parse_pseudo_open)
     3919    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.010    0.010 parser.py:5(<module>)
        1    0.000    0.000    0.009    0.009 feedparser.py:5(<module>)
      240    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
     2737    0.002    0.000    0.008    0.000 __init__.py:541(endData)
      876    0.005    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
        3    0.000    0.000    0.008    0.003 request.py:1(<module>)
    13071    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:299(loads)
        1    0.000    0.000    0.007    0.007 decoder.py:332(decode)
        1    0.007    0.007    0.007    0.007 decoder.py:343(raw_decode)
        1    0.000    0.000    0.007    0.007 re.py:198(search)
    16554    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
     1196    0.004    0.000    0.007    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
        1    0.006    0.006    0.006    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    18589    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
        2    0.000    0.000    0.006    0.003 element.py:1742(find)
        2    0.000    0.000    0.006    0.003 element.py:1767(find_all)
        2    0.001    0.000    0.006    0.003 element.py:738(_find_all)
        1    0.000    0.000    0.005    0.005 cookiejar.py:1(<module>)
     2027    0.000    0.000    0.005    0.000 {built-in method builtins.next}
      240    0.005    0.000    0.005    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.005    0.005 utils.py:5(<module>)
     1244    0.001    0.000    0.005    0.000 parser.py:351(check_for_whole_start_tag)
 2444/346    0.003    0.000    0.005    0.000 sre_parse.py:174(getwidth)
     1244    0.002    0.000    0.005    0.000 __init__.py:644(_popToTag)
        1    0.000    0.000    0.005    0.005 css_match.py:1(<module>)
32682/29537    0.004    0.000    0.004    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.004    0.004 mbcsgroupprober.py:30(<module>)
    45309    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
      325    0.001    0.000    0.004    0.000 css_parser.py:1014(selector_iter)
      172    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
     1696    0.001    0.000    0.004    0.000 element.py:2043(search)
       77    0.000    0.000    0.004    0.000 css_parser.py:458(parse_attribute_selector)
      800    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
      199    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    31313    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.004    0.004 __init__.py:17(<module>)
      805    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.004    0.004 parser.py:1(<module>)
     5076    0.002    0.000    0.004    0.000 _markupbase.py:48(updatepos)
       10    0.000    0.000    0.004    0.000 enum.py:504(_convert_)
        1    0.004    0.004    0.004    0.004 {built-in method _scproxy._get_proxy_settings}
        1    0.000    0.000    0.003    0.003 sbcsgroupprober.py:29(<module>)
     8770    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
       31    0.000    0.000    0.003    0.000 response.py:392(_decode)
       32    0.001    0.000    0.003    0.000 response.py:82(decompress)
      463    0.000    0.000    0.003    0.000 enum.py:334(__call__)
     1838    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
       16    0.001    0.000    0.003    0.000 enum.py:179(__new__)
        1    0.000    0.000    0.003    0.003 certs.py:4(<module>)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
      472    0.002    0.000    0.003    0.000 css_types.py:37(__init__)
      344    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      858    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x1043c5d40}
       52    0.000    0.000    0.003    0.000 css_parser.py:1012(<listcomp>)
     1245    0.002    0.000    0.003    0.000 __init__.py:527(pushTag)
      169    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
       31    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
  136/131    0.000    0.000    0.003    0.000 css_parser.py:386(freeze)
        1    0.000    0.000    0.003    0.003 sjisprober.py:28(<module>)
        1    0.000    0.000    0.003    0.003 core.py:3(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
      123    0.000    0.000    0.002    0.000 _markupbase.py:168(parse_comment)
        1    0.000    0.000    0.002    0.002 header.py:5(<module>)
