Thu Jul  8 22:17:29 2021    tmp

         135858 function calls (135689 primitive calls) in 0.733 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 poolmanager.py:224(connection_from_host)
        1    0.000    0.000    0.000    0.000 models.py:358(prepare_url)
        2    0.000    0.000    0.000    0.000 cookiejar.py:942(set_ok)
     1268    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 _collections_abc.py:932(update)
        1    0.000    0.000    0.000    0.000 poolmanager.py:247(connection_from_context)
    41/11    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
     1309    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       37    0.000    0.000    0.000    0.000 enum.py:646(__new__)
        1    0.000    0.000    0.000    0.000 element.py:1494(__unicode__)
      589    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 element.py:1536(decode)
        1    0.000    0.000    0.000    0.000 poolmanager.py:262(connection_from_pool_key)
        1    0.000    0.000    0.000    0.000 fnmatch.py:25(fnmatch)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        1    0.000    0.000    0.000    0.000 client.py:1250(request)
        1    0.000    0.000    0.000    0.000 client.py:1255(_send_request)
        1    0.000    0.000    0.000    0.000 fnmatch.py:70(fnmatchcase)
        1    0.000    0.000    0.000    0.000 request.py:2626(getproxies_macosx_sysconf)
        1    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
        1    0.000    0.000    0.000    0.000 fnmatch.py:44(_compile_pattern)
        6    0.000    0.000    0.000    0.000 enum.py:947(__or__)
       16    0.000    0.000    0.000    0.000 parse.py:372(urlparse)
        1    0.000    0.000    0.000    0.000 poolmanager.py:188(_new_pool)
        8    0.000    0.000    0.000    0.000 url.py:210(_encode_invalid_chars)
        5    0.000    0.000    0.000    0.000 enum.py:904(_missing_)
        1    0.000    0.000    0.000    0.000 client.py:926(close)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1041(get_data)
        1    0.000    0.000    0.000    0.000 response.py:581(from_httplib)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.000    0.000 connectionpool.py:882(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      139    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
        5    0.000    0.000    0.000    0.000 enum.py:914(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 connectionpool.py:168(__init__)
        1    0.000    0.000    0.000    0.000 socket.py:497(close)
        1    0.000    0.000    0.000    0.000 ssl.py:1120(getpeercert)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
        7    0.000    0.000    0.000    0.000 sessions.py:50(merge_setting)
       22    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
